# Generated: 2026-04-17
# Source: e-Gov 法令API (https://laws.e-gov.go.jp/api/)
# Entries: 2078 laws
321CONSTITUTION	日本国憲法
322AC0000000111	昭和二十二年法律第百十一号（皇族の身分を離れた者及び皇族となつた者の戸籍に関する法律）
322AC0000000113	皇室経済法施行法
322AC0000000117	昭和二十二年法律第百十七号（裁判所予備金に関する法律）
322AC0000000118	災害救助法
322AC0000000121	昭和二十二年法律第百二十一号（国家公務員法の規定が適用せられるまでの官吏その他政府職員の任免等に関する法律）
322AC0000000120	国家公務員法
322AC0000000125	国家賠償法
322AC0000000127	裁判官分限法
322AC0000000129	財政融資資金の債権の条件変更等に関する法律
322AC0000000132	農業協同組合法
322AC0000000135	海難審判法
322AC1000000137	裁判官弾劾法
322AC1000000136	最高裁判所裁判官国民審査法
322AC0000000141	職業安定法
322AC0000000149	すき入紙製造取締法
322AC0000000148	貨幣損傷等取締法
322AC0000000151	昭和二十二年法律第百五十一号（国際電気通信株式会社等の社員で公務員となつた者の在職年の計算に関する恩給法の特例等に関する法律）
322AC0000000159	昭和二十二年法律第百五十九号（赤十字の標章及び名称等の使用の制限に関する法律）
322AC0000000170	昭和二十二年法律第百七十号（大蔵省預金部特別会計、国有鉄道事業特別会計、通信事業特別会計並びに簡易生命保険及郵便年金特別会計の保険勘定及び年金勘定の昭和二十二年度における歳入不足補填のための一般会計からする繰入金に関する法律）
322AC0000000165	郵便法
322AC0000000164	児童福祉法
322AC0000000175	昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）
322AC0000000181	臨時金利調整法
322AC0000000185	農業保険法
322AC0000000189	印紙等模造取締法
322AC0000000194	国の利害に関係のある訴訟についての法務大臣の権限等に関する法律
322AC0000000217	あん摩マツサージ指圧師、はり師、きゆう師等に関する法律
322AC0000000224	戸籍法
322AC0000000231	昭和二十二年法律第二百三十一号（国が施行する内国貿易設備に関する港湾工事に因り生ずる土地又は工作物の譲与又は貸付及び使用料の徴収に関する法律）
322AC0000000229	昭和二十二年法律第二百二十九号（物品の無償貸付及び譲与等に関する法律）
322AC1000000225	議院における証人の宣誓及び証言等に関する法律
322AC0000000226	消防組織法
322AC0000000233	食品衛生法
322AC0000000234	理容師法
322AC0000000245	栄養士法
323AC1000000005	国立国会図書館法
323AC1000000006	国立国会図書館建築委員会法
323AC0000000013	昭和二十三年法律第十三号（政府職員の俸給等の支給に関する措置等に伴う大蔵省預金部外三特別会計に対する一般会計の繰入金に関する法律）
323AC0000000018	大蔵省預金部特別会計外三特別会計の昭和二十三年度における歳入不足補填のための一般会計からする繰入金に関する法律
323AC0000000025	金融商品取引法
323AC0000000027	財政法第三条の特例に関する法律
323AC0000000028	海上保安庁法
323AC0000000039	軽犯罪法
323AC0000000043	行政代執行法
323AC0000000048	墓地、埋葬等に関する法律
323AC0000000073	国有財産法
323AC0000000068	予防接種法
323AC0000000075	裁判官の報酬等に関する法律
323AC0000000076	検察官の俸給等に関する法律
323AC0000000082	農薬取締法
323AC0000000080	減額社債に対する措置等に関する法律
323AC0000000083	中小企業庁設置法
323AC1000000092	議院法制局法
323AC0000000103	公認会計士法
323AC0000000109	地方財政法
323AC0000000131	刑事訴訟法
323AC0000000132	教科書の発行に関する臨時措置法
323AC0000000135	市町村立学校職員給与負担法
323AC0000000130	船員職業安定法
323AC0000000121	日本学術会議法
323AC0000000129	社会保険診療報酬支払基金法
323AC0000000122	風俗営業等の規制及び業務の適正化等に関する法律
323AC0000000125	温泉法
323AC0000000120	国家行政組織法
323AC0000000124	大麻草の栽培の規制に関する法律
323AC0000000137	興行場法
323AC0000000139	公衆浴場法
323AC0000000138	旅館業法
323AC0000000136	警察官職務執行法
323AC0000000147	検察審査会法
323AC0000000142	印紙をもつてする歳入金納付に関する法律
323AC0000000146	判事補の職権の特例等に関する法律
323AC0000000140	化製場等に関する法律
323AC0000000144	当せん金付証票法
323AC0000000158	競馬法
323AC0100000156	母体保護法
323AC0000000174	港則法
323AC0000000165	農業改良助長法
323AC0000000168	少年法
323AC1000000178	国民の祝日に関する法律
323AC1000000186	消防法
323AC0000000193	損害保険料率算出団体に関する法律
323AC0000000198	民生委員法
323AC1000000194	政治資金規正法
323AC0000000201	医師法
323AC0000000203	保健師助産師看護師法
323AC0000000202	歯科医師法
323AC0000000205	医療法
323AC0000000200	消費生活協同組合法
323AC0000000204	歯科衛生士法
323AC0100000199	人身保護法
323AC1000000209	自転車競技法
323AC0000000234	司法警察職員等指定応急措置法
323AC0000000242	水産業協同組合法
323AC0000000251	罰金等臨時措置法
323AC0000000249	刑事訴訟法施行法
323AC0000000257	行政執行法人の労働関係に関する法律
323AC1000000282	道路の修繕に関する法律
324AC0000000001	教育公務員特例法
324AC0000000057	検察官の取り調べた者等に対する旅費、日当、宿泊料等支給法
324AC0000000070	鉱山保安法
324AC0000000083	公共企業体労働関係法の施行に関する法律
324AC0000000091	郵便切手類販売所等に関する法律
324AC0000000099	航路標識法
324AC0100000096	年齢のとなえ方に関する法律
324AC1000000101	国立国会図書館法の規定により行政各部門に置かれる支部図書館及びその職員に関する法律
324AC0000000100	建設業法
324AC0000000108	古物営業法
324AC0000000121	水先法
324AC0000000117	国家公務員宿舎法
324AC0000000139	人権擁護委員法
324AC0000000147	教育職員免許法
324AC0000000149	文部科学省著作教科書の出版権等に関する法律
324AC0000000148	教育職員免許法施行法
324AC0000000140	司法試験法
324AC0000000173	在外公館等借入金の確認に関する法律
324AC0000000176	国の所有に属する物品の売払代金の納付に関する法律
324AC0000000174	労働組合法
324AC0000000181	中小企業等協同組合法
324AC0000000187	海上運送法
324AC0000000183	協同組合による金融事業に関する法律
324AC0000000182	中小企業等協同組合法施行法
324AC0000000185	産業標準化法
324AC0000000186	獣医師法
324AC0000000189	屋外広告物法
324AC0000000188	測量法
324AC0000000193	水防法
324AC0000000195	土地改良法
324AC0000000196	土地改良法施行法
324AC1000000200	国家公務員の寒冷地手当に関する法律
324AC0000000207	社会教育法
324AC1000000205	弁護士法
324AC1000000208	家畜商法
324AC1000000206	認知の訴の特例に関する法律
324AC0000000204	死体解剖保存法
324AC0000000213	簡易郵便局法
324AC0000000210	通訳案内士法
324AC1000000219	広島平和記念都市建設法
324AC1000000220	長崎国際文化都市建設法
324AC0000000224	お年玉付郵便葉書等に関する法律
324AC0000000228	外国為替及び外国貿易法
324AC0000000240	郵政事業特別会計の昭和二十四年度における歳入不足補てんのための一般会計からする繰入金に関する法律
324AC0000000257	旧軍関係債権の処理に関する法律
324AC0000000259	国際観光事業の助成に関する法律
324AC0000000252	特別職の職員の給与に関する法律
324AC1000000256	政府契約の支払遅延防止等に関する法律
324AC0000000270	私立学校法
324AC0000000267	漁業法
324AC0000000268	漁業法施行法
324AC0000000266	警察用電話等の処理に関する法律
324AC1000000271	人事官弾劾の訴追に関する法律
324AC1000000279	国際観光ホテル整備法
324AC1000000283	身体障害者福祉法
324AC0000000284	郵便物運送委託法
325AC0000000001	刑事補償法
325AC0000000005	駐留軍労働者等に支払うべき給料その他の給与の支払事務の処理の特例に関する法律
325AC0000000012	家畜保健衛生所法
325AC0000000073	相続税法
325AC0000000053	森林病害虫等防除法
325AC0000000061	国等の債権債務等の金額の端数計算に関する法律
325AC0000000067	貿易保険法
325AC0000000062	退職職員に支給する退職手当支給の財源に充てるための特別会計からする一般会計への繰入れに関する法律
325AC0000000041	日本勧業銀行法等を廃止する法律
325AC0000000047	社会保険医療協議会法
325AC0000000081	公立大学に置かれた文部事務官等の身分上の措置に関する法律
325AC1000000095	一般職の職員の給与に関する法律
325AC1000000100	公職選挙法
325AC0000000102	水路業務法
325AC0000000105	日本政府在外事務所設置法
325AC0000000110	資産再評価法
325AC0000000118	図書館法
325AC0000000114	国家公務員等の旅費に関する法律
325AC0000000127	肥料の品質の確保等に関する法律
325AC0100000123	精神保健及び精神障害者福祉に関する法律
325AC0000000129	造船法
325AC0000000126	北海道開発法
325AC0000000131	電波法
325AC1000000137	漁港及び漁場の整備等に関する法律
325AC0000000132	放送法
325AC0000000151	植物防疫法
325AC0000000147	国籍法
325AC0000000149	火薬類取締法
325AC0000000144	生活保護法
325AC0000000158	質屋営業法
325AC0000000169	農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律
325AC0000000177	船主相互保険組合法
325AC0000000172	予算執行職員等の責任に関する法律
325AC0000000175	日本農林規格等に関する法律
325AC1000000178	漁船法
325AC0000000179	国会議員の選挙等の執行経費の基準に関する法律
325AC0000000194	牧野法
325AC1000000197	司法書士法
325AC0000000201	建築基準法
325AC1000000202	建築士法
325AC0000000204	保護司法
325AC0000000205	国土形成計画法
325AC1000000207	クリーニング業法
325AC0000000209	家畜改良増殖法
325AC1000000208	小型自動車競走法
325AC0000000211	地方交付税法
325AC0100000214	文化財保護法
325AC0000000218	港湾法
325AC0100000220	旧軍港市転換法
325AC1000000221	別府国際観光温泉文化都市建設法
325AC1000000222	伊東国際観光温泉文化都市建設法
325AC1000000228	土地家屋調査士法
325AC0000000226	地方税法
325AC1000000233	熱海国際観光温泉文化都市建設法
325AC0000000239	商品先物取引法
325AC1000000247	狂犬病予防法
325AC1000000250	奈良国際文化観光都市建設法
325AC1000000249	神戸国際港都建設法
325AC1000000248	横浜国際港都建設法
325AC1000000251	京都国際文化観光都市建設法
325AC1000000253	漁業用海岸局を開設運用する漁業協同組合及び漁業協同組合連合会に対する水産業協同組合法の適用の特例に関する法律
325AC0000000256	旧令による共済組合等からの年金受給者のための特別措置法
325AC0000000261	地方公務員法
325AC0000000264	中小企業信用保険法
325AC0000000276	郵政事業特別会計の歳入不足を補てんするための一般会計からする繰入金に関する法律
325AC0000000291	採石法
325AC0000000292	鉱業等に係る土地利用の調整手続等に関する法律
325AC0000000290	鉱業法施行法
325AC0000000289	鉱業法
325AC0000000303	毒物及び劇物取締法
326AC1000000004	行政書士法
326AC1000000007	松江国際文化観光都市建設法
326AC1000000008	芦屋国際文化住宅都市建設法
326AC0000000023	郵政事業特別会計の歳入不足を補てんするための一般会計からする繰入金に関する法律
326AC0000000032	海事代理士法
326AC0000000033	国家公務員共済組合法の規定による年金の額の改定に関する法律
326AC0000000045	社会福祉法
326AC0000000053	裁判所職員定員法
326AC1000000073	北海道開発のためにする港湾工事に関する法律
326AC0000000097	公共土木施設災害復旧事業費国庫負担法
326AC0000000099	沖縄振興開発金融公庫の予算及び決算に関する法律
326AC0000000088	農業委員会等に関する法律
326AC0000000100	財政融資資金法
326AC1000000117	松山国際観光温泉文化都市建設法
326AC0000000125	文化功労者年金法
326AC0000000126	宗教法人法
326AC1000000145	納税貯蓄組合法
326AC1000000144	農産物検査法
326AC0000000149	船舶職員及び小型船舶操縦者法
326AC0100000161	港湾運送事業法
326AC1000000166	家畜伝染病予防法
326AC1000000181	官公庁施設の建設等に関する法律
326AC0000000187	自動車抵当法
326AC0000000183	道路運送法
326AC0000000185	道路運送車両法
326AC0000000188	自動車抵当法施行法
326AC0000000186	道路運送車両法施行法
326AC0000000180	国土調査法
326AC0000000184	道路運送法施行法
326AC0000000191	国家公務員災害補償法
326AC1000000193	公営住宅法
326AC0100000198	投資信託及び投資法人に関する法律
326AC0000000201	検疫法
326AC0000000204	高圧ガス保安法
326AC1000000212	日刊新聞紙の発行を目的とする株式会社の株式の譲渡の制限等に関する法律
326AC1000000222	民事調停法
326AC0100000220	土地収用法施行法
326AC0100000219	土地収用法
326AC1000000227	民間学術研究機関の助成に関する法律
326AC1000000228	産業教育振興法
326AC0100000226	診療放射線技師法
326AC1000000237	税理士法
326AC1000000239	信用金庫法施行法
326AC1000000238	信用金庫法
326AC1000000242	モーターボート競走法
326AC0100000246	国有林野の管理経営に関する法律
326AC1000000250	森林法施行法
326AC1000000249	森林法
326AC0100000252	覚醒剤取締法
326AC1000000253	軽井沢国際親善文化観光都市建設法
326AC0000000264	連合国財産補償法
326AC0000000267	旅券法
326AC1000000285	博物館法
326AC0000000289	旧外貨債処理法による借換済外貨債の証券の一部の有効化等に関する法律
326AC0000000299	裁判所職員臨時措置法
326AC0000000307	旧令による共済組合等からの年金受給者のための特別措置法の規定による年金の額の改定に関する法律
326AC0000000308	昭和二十六年度における給与の改訂に伴う国家公務員共済組合法の規定による年金の額の改定に関する法律
326AC1000000313	水産資源保護法
327AC0000000004	財政法、会計法等の財政関係法律の一部を改正する等の法律
327AC1000000005	企業合理化促進法
327AC0000000035	海外からの日本国民の集団的引揚輸送のための航海命令に関する法律
327AC1000000028	漁船損害等補償法
327AC0000000041	外務公務員法
327AC0000000043	ポツダム宣言の受諾に伴い発する命令に関する件に基く大蔵省関係諸命令の措置に関する法律
327AC0000000044	在外公館等借入金の返済の実施に関する法律
327AC0000000072	ポツダム宣言の受諾に伴い発する命令に関する件に基く運輸省関係諸命令の措置に関する法律
327AC0000000079	教職員の除去、就職禁止等に関する政令を廃止する法律
327AC0000000081	ポツダム宣言の受諾に伴い発する命令に関する件の廃止に関する法律
327AC0000000093	在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律
327AC0000000094	公職に関する就職禁止、退職等に関する勅令等の廃止に関する法律
327AC1000000096	特殊土壌地帯災害防除及び振興臨時措置法
327AC0000000107	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定等の実施に伴う電気通信事業法等の特例に関する法律
327AC0000000121	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う民事特別法
327AC0000000123	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定及び日本国における国際連合の軍隊の地位に関する協定の実施に伴う道路運送法等の特例に関する法律
327AC0000000122	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う郵便法の特例に関する法律
327AC0000000126	ポツダム宣言の受諾に伴い発する命令に関する件に基く外務省関係諸命令の措置に関する法律
327AC0000000120	ポツダム宣言の受諾に伴い発する命令に関する件に基く厚生省関係諸命令の措置に関する法律
327AC0000000124	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定及び日本国における国際連合の軍隊の地位に関する協定の実施に伴う水先法の特例に関する法律
327AC0000000108	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う電波法の特例に関する法律
327AC0000000111	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う所得税法等の臨時特例に関する法律
327AC0000000117	公務員等の懲戒免除等に関する法律
327AC0000000113	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国税通則法等の臨時特例に関する法律
327AC0000000119	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う地方税法の臨時特例に関する法律
327AC0000000112	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う関税法等の臨時特例に関する法律
327AC0000000110	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国有の財産の管理に関する法律
327AC0000000114	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴うたばこ事業法等の臨時特例に関する法律
327AC0000000127	戦傷病者戦没者遺族等援護法
327AC0000000137	ポツダム宣言の受諾に伴い発する命令に関する件に基く法務府関係諸命令の措置に関する法律
327AC0000000138	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う刑事特別法
327AC0000000140	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法
327AC1000000151	内航海運業法
327AC0000000165	気象業務法
327AC1000000176	宅地建物取引業法
327AC0000000174	日本国との平和条約の効力の発生及び日本国とアメリカ合衆国との間の安全保障条約第三条に基く行政協定の実施等に伴い国家公務員法等の一部を改正する等の法律
327AC1000000181	道路法施行法
327AC1000000180	道路法
327AC0000000187	長期信用銀行法
327AC0000000182	外国の領事官に交付する認可状の認証に関する法律
327AC0000000184	公共工事の前払金保証事業に関する法律
327AC0000000191	国際通貨基金及び国際復興開発銀行への加盟に伴う措置に関する法律
327AC0000000195	貸付信託法
327AC0000000201	外国軍用艦船等に関する検疫法特例
327AC0100000204	道路交通事業抵当法
327AC0000000207	ユネスコ活動に関する法律
327AC0000000219	国有財産特別措置法
327AC1000000226	離島航路整備法
327AC0000000231	航空法
327AC0000000232	日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定及び日本国における国際連合の軍隊の地位に関する協定の実施に伴う航空法の特例に関する法律
327AC0000000230	農地法施行法
327AC0000000229	農地法
327AC0000000237	航空機製造事業法
327AC0100000239	旅行業法
327AC0000000241	公安調査庁設置法
327AC0000000242	公安審査委員会設置法
327AC0000000240	破壊活動防止法
327AC0000000243	日本国とアメリカ合衆国との間の相互協力及び安全保障条約に基づき日本国にあるアメリカ合衆国の軍隊の水面の使用に伴う漁船の操業制限等に関する法律
327AC1000000244	昭和二十三年六月三十日以前に給与事由の生じた恩給の特別措置に関する法律
327AC1000000245	警察官の職務に協力援助した者の災害給付に関する法律
327AC0000000252	内閣法制局設置法
327AC0000000289	地方公営企業等の労働関係に関する法律
327AC1000000286	法廷等の秩序維持に関する法律
327AC0000000266	防衛省の職員の給与等に関する法律
327AC0000000292	地方公営企業法
327AC0000000299	輸出入取引法
327AC1000000303	義務教育費国庫負担法
327AC0000000302	連合国及び連合国民の著作権の特例に関する法律
327AC1000000305	日本赤十字社法
327AC0000000310	地方制度調査会設置法
327AC0000000337	国際連合の決議に基く民生事業のため必要な物品の無償譲渡に関する法律
327AC0000000346	中小漁業融資保証法
327AC1000000358	農山漁村電気導入促進法
327AC1000000356	飼料需給安定法
328AC0000000001	外航船舶建造融資利子補給臨時措置法
328AC0000000007	酒税の保全及び酒類業組合等に関する法律
328AC0000000006	酒税法
328AC0000000014	麻薬及び向精神薬取締法
328AC1000000033	海上保安官に協力援助した者等の災害給付に関する法律
328AC1000000035	飼料の安全性の確保及び品質の改善に関する法律
328AC0000000051	国際復興開発銀行等からの外資の受入に関する特別措置に関する法律
328AC1000000052	国会における各会派に対する立法事務費の交付に関する法律
328AC0000000062	金管理法
328AC1000000064	北海道防寒住宅建設等促進法
328AC0000000066	航空機抵当法
328AC0000000068	逃亡犯罪人引渡法
328AC1000000072	離島振興法
328AC0000000083	地方青少年問題協議会法
328AC0000000087	消防施設強化促進法
328AC0000000098	有線電気通信法及び公衆電気通信法施行法
328AC0000000096	有線電気通信法
328AC0000000157	昭和二十七年十月三十一日以前に給与事由の生じた恩給等の年額の改定に関する法律
328AC0000000159	昭和二十三年六月三十日以前に給付事由の生じた国家公務員共済組合法等の規定による年金の特別措置に関する法律
328AC0000000156	元南西諸島官公署職員等の身分、恩給等の特別措置に関する法律
328AC0000000161	未帰還者留守家族等援護法
328AC0000000160	昭和二十七年度における給与の改訂に伴う国家公務員共済組合法等の規定による年金の額の改定に関する法律
328AC0000000114	と畜場法
328AC1000000143	商工会議所法
328AC0000000149	臨時船舶建造調整法
328AC0000000145	武器等製造法
328AC0000000170	港湾整備促進法
328AC1000000169	鉄道軌道整備法
328AC0000000171	電気事業及び石炭鉱業における争議行為の方法の規制に関する法律
328AC1000000182	国家公務員退職手当法
328AC1000000185	学校図書館法
328AC1000000186	理科教育振興法
328AC0000000196	信用保証協会法
328AC0000000200	一般財団法人日本遺族会に対する国有財産の無償貸付け等に関する法律
328AC0000000206	社会保険審査官及び社会保険審査会法
328AC0100000227	労働金庫法
328AC1000000224	財団法人労働科学研究所に対する国有財産の譲与に関する法律
328AC1000000238	高等学校の定時制教育及び通信教育振興法
328AC0000000236	国の援助等を必要とする帰国者に関する領事官の職務等に関する法律
328AC0000000245	私立学校教職員共済法
328AC0000000246	日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律
328AC0000000253	久六島周辺における漁業についての漁業法の特例に関する法律
328AC0000000247	公立学校施設災害復旧費国庫負担法
328AC0000000265	日本国における国際連合の軍隊に対する刑事裁判権の行使に関する議定書の実施に伴う刑事特別法
328AC0000000267	奄美群島の復帰に伴う法令の適用の暫定措置等に関する法律
329AC0000000036	国税収納金整理資金に関する法律
329AC0000000051	ガス事業法
329AC0000000061	関税法
329AC0000000064	刑事訴訟法第百九十四条に基く懲戒処分に関する法律
329AC0000000066	日本銀行券預入令等を廃止する法律
329AC0000000071	あへん法
329AC0000000091	株式会社日本政策金融公庫が行う恩給担保金融に関する法律
329AC0000000097	建設機械抵当法
329AC0000000108	軍事郵便貯金等特別処理法
329AC0000000100	利息制限法
329AC0000000109	国の所有に属する自動車等の交換に関する法律
329AC0000000110	株式会社以外の法人の再評価積立金の資本組入に関する法律
329AC0000000113	交通事件即決裁判手続法
